export const n5part_particles1 = {
  Lesson15: [
    { id: 1,  kanji: "が",       reading: "が",       meanings: { ja: "主語を表す助詞",            en: "subject marker",              zh: "主语助词",           tw: "主語助詞",           ko: "주어 표시 조사",                 vi: "trợ từ chỉ chủ ngữ",            th: "เครื่องหมายประธาน",           my: "အကြောင်းအရာ(Subject) ကို ပြသော အ助詞" } },
    { id: 2,  kanji: "を",       reading: "を",       meanings: { ja: "目的語を表す助詞",          en: "object marker",               zh: "宾语助词",           tw: "賓語助詞",           ko: "목적어 표시 조사",               vi: "trợ từ chỉ tân ngữ",            th: "เครื่องหมายกรรม",             my: "ရည်ညွှန်းအရာ(Object) ကို ပြသော အ助詞" } },
    { id: 3,  kanji: "に",       reading: "に",       meanings: { ja: "到着点・時点など",          en: "to; at; in",                   zh: "表示方向/时间/存在处所", tw: "表示方向/時間/存在處所", ko: "도착점·시간·존재 장소",         vi: "đến; tại; ở (thời/địa điểm)",   th: "ที่; เวลา; ใน",                 my: "သို့; တွင်; အတွင်း (နေရာ/အချိန်)" } },
    { id: 4,  kanji: "で",       reading: "で",       meanings: { ja: "場所・手段など",            en: "at; by means of",             zh: "表示地点/手段",       tw: "表示地點/手段",       ko: "장소·수단",                     vi: "tại; bằng (phương tiện)",       th: "ที่ (สถานที่); ด้วย (วิธี)",    my: "နေရာတွင်; နည်းလမ်းဖြင့်" } },
    { id: 5,  kanji: "へ",       reading: "へ",       meanings: { ja: "方向を表す助詞",            en: "towards",                      zh: "表示方向",           tw: "表示方向",           ko: "방향",                           vi: "hướng tới",                      th: "ไปยัง; มุ่งสู่",               my: "ဦးတည်ရာသို့" } },
    { id: 6,  kanji: "から",     reading: "から",     meanings: { ja: "起点・原因",                en: "from; because",                zh: "从；因为",           tw: "從；因為",           ko: "출발점; 이유",                   vi: "từ; vì",                        th: "จาก; เพราะ",                   my: "မှ; အကြောင်းကြောင့်" } },
    { id: 7,  kanji: "まで",     reading: "まで",     meanings: { ja: "限界・終点",                en: "until; up to",                 zh: "到；为止",           tw: "到；為止",           ko: "까지",                           vi: "đến; cho đến",                  th: "จนถึง",                         my: "ထိ; အထိ" } },
    { id: 8,  kanji: "と",       reading: "と",       meanings: { ja: "〜と（並立・共同）",         en: "and; with",                    zh: "和；与",             tw: "和；與",             ko: "그리고; 와/과",                  vi: "và; với",                       th: "และ; กับ",                      my: "နှင့်; အတူ" } },
    { id: 9,  kanji: "や",       reading: "や",       meanings: { ja: "〜や〜（例示）",             en: "and (examples)",               zh: "和（列举）",         tw: "和（列舉）",         ko: "…라든가 (예시)",                 vi: "và (liệt kê ví dụ)",            th: "และ (เชิงยกตัวอย่าง)",        my: "နှင့် စသည်တို့ (ဥပမာ ပြ)" } },
    { id: 10, kanji: "の",       reading: "の",       meanings: { ja: "所属・連体修飾",            en: "possessive; attributive",     zh: "的（所属/修饰）",    tw: "的（所屬/修飾）",    ko: "소유; 관형",                     vi: "sở hữu; bổ nghĩa danh từ",      th: "ของ; ขยายคำนาม",               my: "ပိုင်ဆိုင်မှု; နာမ်修飾" } },
    { id: 11, kanji: "も",       reading: "も",       meanings: { ja: "〜も（追加）",               en: "also; too",                    zh: "也",               tw: "也",               ko: "도 (또한)",                      vi: "cũng",                          th: "ก็; ด้วย",                      my: "လည်း; ကိုယ်တိုင်လည်း" } },
    { id: 12, kanji: "しか",     reading: "しか",     meanings: { ja: "〜しか…ない",               en: "only (with neg.)",            zh: "只（与否定连用）",   tw: "只（與否定連用）",   ko: "밖에 … 없다",                    vi: "chỉ (dùng với phủ định)",       th: "เท่านั้น (ใช้กับปฏิเสธ)",      my: "သာလျှင် (ငြင်းကာလနှင့် သုံး)" } },
    { id: 13, kanji: "だけ",     reading: "だけ",     meanings: { ja: "〜だけ（限定）",             en: "only",                         zh: "只",               tw: "只",               ko: "만; 뿐",                         vi: "chỉ; duy nhất",                 th: "เท่านั้น",                      my: "သာ; တတော့" } },
    { id: 14, kanji: "など",     reading: "など",     meanings: { ja: "など（等・など）",           en: "etc.; such as",                zh: "等等",             tw: "等等",             ko: "등; 따위",                       vi: "v.v.; như là",                   th: "เป็นต้น; เช่น",                my: "စသည်တို့; တို့ကဲ့သို့" } },
    { id: 15, kanji: "そして",   reading: "そして",   meanings: { ja: "そして（接続）",             en: "and then; and",                zh: "而且；然后",         tw: "而且；然後",         ko: "그리고; 그리고 나서",             vi: "và; rồi thì",                   th: "แล้วก็; และ",                   my: "ပြီးတော့; နှင့်" } },
    { id: 16, kanji: "でも",     reading: "でも",     meanings: { ja: "〜でも（譲歩/例示）",         en: "even; or something",          zh: "即使；或者",         tw: "即使；或者",         ko: "…라도; 뭐라도",                  vi: "dù…; hay là…",                  th: "ถึงแม้; หรืออะไรสักอย่าง",     my: "တောင်မှ; ဘာတစ်ခုခုလည်းကောင်း" } },
    { id: 17, kanji: "けど",     reading: "けど",     meanings: { ja: "〜けど（逆接）",             en: "but; though",                  zh: "但是；不过",         tw: "但是；不過",         ko: "…지만; …인데",                   vi: "nhưng; tuy",                    th: "แต่; ถึงแม้ว่า",                my: "တစ်ခါတရံ…ပေမဲ့" } },
