1,青,あお,N5,n,"""blue"""
2,赤,あか,N5,n,"""red"""
3,秋,あき,N5,n,"""autumn"""
4,朝,あさ,N5,n,"""morning"""
5,朝御飯,あさごはん,N5,n,"""breakfast"""
6,明後日,あさって,N5,n,"""day after tomorrow"""
7,明日,あした,N5,n,"""tomorrow"""
8,頭,あたま,N5,n,"""head"""
9,後,あと,N5,n,"""behind"""
10,兄,あに,N5,n,"""older brother"""
11,姉,あね,N5,n,"""older sister"""
12,アパート,アパート,N5,n,"""apartment building"""
13,余り,あまり,N5,n,"""remainder"""
14,雨,あめ,N5,n,"""rain"""
15,飴,あめ,N5,n,"""(hard) candy"""
16,家,いえ,N5,n,"""house"""
17,いくら,いくら,N5,n,"""salted salmon roe"""
18,池,いけ,N5,n,"""pond"""
19,医者,いしゃ,N5,n,"""doctor"""
20,椅子,いす,N5,n,"""chair"""
21,一,いち,N5,num,"""one"""
22,一日,いちにち,N5,n,"""one day"""
23,一番,いちばん,N5,n,"""number one"""
24,五日,いつか,N5,n,"""5th day of the month"""
25,一緒,いっしょ,N5,n,"""(doing) together"""
26,五つ,いつつ,N5,num,"""five"""
27,犬,いぬ,N5,n,"""dog (Canis (lupus) familiaris)"""
28,今,いま,N5,n,"""now"""
29,意味,いみ,N5,n,"""meaning"""
30,妹,いもうと,N5,n,"""younger sister"""
31,入口,いりぐち,N5,n,"""entrance"""
32,色,いろ,N5,n,"""colour"""
33,上,うえ,N5,n,"""above"""
34,後ろ,うしろ,N5,n,"""back"""
35,歌,うた,N5,n,"""song"""
36,海,うみ,N5,n,"""sea"""
37,上着,うわぎ,N5,n,"""coat"""
38,絵,え,N5,n,"""picture"""
39,映画,えいが,N5,n,"""movie"""
40,映画館,えいがかん,N5,n,"""movie theatre"""
41,英語,えいご,N5,n,"""English (language)"""
42,駅,えき,N5,n,"""railway station"""
43,エレベーター,エレベーター,N5,n,"""elevator"""
44,鉛筆,えんぴつ,N5,n,"""pencil"""
45,大勢,おおぜい,N5,n,"""crowd of people"""
46,お母さん,おかあさん,N5,n,"""mother"""
47,お菓子,おかし,N5,n,"""confections"""
48,お金,おかね,N5,n,"""money"""
49,奥さん,おくさん,N5,n,"""wife"""
50,お酒,おさけ,N5,n,"""alcohol"""
51,お皿,おさら,N5,n,"""plate"""
52,お茶,おちゃ,N5,n,"""tea (esp. green or barley)"""
53,お手洗い,おてあらい,N5,n,"""toilet"""
54,お父さん,おとうさん,N5,n,"""father"""
55,弟,おとうと,N5,n,"""younger brother"""
56,男,おとこ,N5,n,"""man"""
57,一昨日,おととい,N5,n,"""day before yesterday"""
58,大人,おとな,N5,n,"""adult"""
59,お腹,おなか,N5,n,"""belly"""
60,お兄さん,おにいさん,N5,n,"""older brother"""
61,お姉さん,おねえさん,N5,n,"""older sister"""
62,お風呂,おふろ,N5,n,"""bath"""
63,お弁当,おべんとう,N5,n,"""bento"""
64,音楽,おんがく,N5,n,"""music"""
65,女,おんな,N5,n,"""woman"""
66,外国,がいこく,N5,n,"""foreign country"""
67,外国人,がいこくじん,N5,n,"""foreigner"""
68,会社,かいしゃ,N5,n,"""company"""
69,階段,かいだん,N5,n,"""stairs"""
70,買い物,かいもの,N5,n,"""shopping"""
71,顔,かお,N5,n,"""face"""
72,鍵,かぎ,N5,n,"""key"""
73,学生,がくせい,N5,n,"""student (esp. a university student)"""
74,傘,かさ,N5,n,"""umbrella"""
75,風,かぜ,N5,n,"""wind"""
76,風邪,かぜ,N5,n,"""(common) cold"""
77,方,かた,N5,n,"""direction"""
78,家族,かぞく,N5,n,"""family"""
79,片仮名,かたかな,N5,n,"""katakana"""
80,学校,がっこう,N5,n,"""school"""
81,カップ,カップ,N5,n,"""cup (drinking vessel"
82,家庭,かてい,N5,n,"""home"""
83,角,かど,N5,n,"""corner"""
84,花瓶,かびん,N5,n,"""(flower) vase"""
85,紙,かみ,N5,n,"""paper"""
86,カメラ,カメラ,N5,n,"""camera"""
87,火曜日,かようび,N5,n,"""Tuesday"""
88,体,からだ,N5,n,"""body"""
89,カレンダー,カレンダー,N5,n,"""calendar"""
90,漢字,かんじ,N5,n,"""kanji"""
91,木,き,N5,n,"""tree"""
92,黄色,きいろ,N5,n,"""yellow"""
93,北,きた,N5,n,"""north"""
94,ギター,ギター,N5,n,"""guitar"""
95,喫茶店,きっさてん,N5,n,"""coffee shop"""
96,切手,きって,N5,n,"""stamp (postage)"""
97,切符,きっぷ,N5,n,"""ticket"""
98,昨日,きのう,N5,n,"""yesterday"""
99,九,きゅう,N5,num,"""nine"""
100,牛肉,ぎゅうにく,N5,n,"""beef"""
101,牛乳,ぎゅうにゅう,N5,n,"""(cow's) milk"""
102,今日,きょう,N5,n,"""today"""
103,教室,きょうしつ,N5,n,"""classroom"""
104,兄弟,きょうだい,N5,n,"""siblings"""
105,去年,きょねん,N5,n,"""last year"""
106,銀行,ぎんこう,N5,n,"""bank"""
107,金曜日,きんようび,N5,n,"""Friday"""
108,九,く,N5,num,"""nine"""
109,薬,くすり,N5,n,"""medicine"""
110,果物,くだもの,N5,n,"""fruit"""
111,口,くち,N5,n,"""mouth"""
112,靴,くつ,N5,n,"""shoe"""
113,靴下,くつした,N5,n,"""socks"""
114,国,くに,N5,n,"""country"""
115,曇り,くもり,N5,n,"""cloudiness"""
116,クラス,クラス,N5,n,"""class"""
117,車,くるま,N5,n,"""car"""
118,黒,くろ,N5,n,"""black"""
119,警官,けいかん,N5,n,"""police officer"""
120,今朝,けさ,N5,n,"""this morning"""
121,月曜日,げつようび,N5,n,"""Monday"""
122,玄関,げんかん,N5,n,"""entrance"""
123,五,ご,N5,num,"""five"""
124,公園,こうえん,N5,n,"""(public) park"""
125,交差点,こうさてん,N5,n,"""crossing"""
126,紅茶,こうちゃ,N5,n,"""black tea"""
127,交番,こうばん,N5,n,"""police box"""
128,声,こえ,N5,n,"""voice"""
129,コート,コート,N5,n,"""coat"""
130,午後,ごご,N5,n,"""afternoon"""
131,九日,ここのか,N5,n,"""9th day of the month"""
132,九つ,ここのつ,N5,num,"""nine"""
133,午前,ごぜん,N5,n,"""morning"""
134,コップ,コップ,N5,n,"""cop"""
135,今年,ことし,N5,n,"""this year"""
136,言葉,ことば,N5,n,"""language"""
137,子供,こども,N5,n,"""child"""
138,御飯,ごはん,N5,n,"""cooked rice"""
139,今月,こんげつ,N5,n,"""this month"""
140,今週,こんしゅう,N5,n,"""this week"""
141,今晩,こんばん,N5,n,"""tonight"""
142,財布,さいふ,N5,n,"""wallet"""
143,魚,さかな,N5,n,"""fish"""
144,先,さき,N5,n,"""point"""
145,作文,さくぶん,N5,n,"""writing (an essay"
146,雑誌,ざっし,N5,n,"""magazine"""
147,砂糖,さとう,N5,n,"""sugar"""
148,さ来年,さらいねん,N5,n,"""year after next"""
149,三,さん,N5,num,"""three"""
150,四,し,N5,num,"""four"""
151,塩,しお,N5,n,"""salt"""
152,時間,じかん,N5,n,"""time"""
153,仕事,しごと,N5,n,"""work"""
154,辞書,じしょ,N5,n,"""dictionary"""
155,下,した,N5,n,"""below"""
156,七,しち,N5,num,"""seven"""
157,質問,しつもん,N5,n,"""question"""
158,自転車,じてんしゃ,N5,n,"""bicycle"""
159,自動車,じどうしゃ,N5,n,"""car"""
160,字引,じびき,N5,n,"""dictionary"""
161,写真,しゃしん,N5,n,"""photograph"""
162,シャツ,シャツ,N5,n,"""shirt (undergarment)"""
163,シャワー,シャワー,N5,n,"""shower"""
164,十,じゅう,N5,num,"""ten"""
165,授業,じゅぎょう,N5,n,"""lesson"""
166,宿題,しゅくだい,N5,n,"""homework"""
167,醤油,しょうゆ,N5,n,"""soy sauce"""
168,食堂,しょくどう,N5,n,"""dining room"""
169,白,しろ,N5,n,"""white"""
170,新聞,しんぶん,N5,n,"""newspaper"""
171,水曜日,すいようび,N5,n,"""Wednesday"""
172,スカート,スカート,N5,n,"""skirt"""
173,ストーブ,ストーブ,N5,n,"""(room) heater"""
174,スプーン,スプーン,N5,n,"""spoon"""
175,スポーツ,スポーツ,N5,n,"""sport"""
176,背,せい,N5,n,"""height"""
177,生徒,せいと,N5,n,"""pupil"""
178,セーター,セーター,N5,n,"""sweater"""
179,石鹸,せっけん,N5,n,"""soap"""
180,背広,せびろ,N5,n,"""business suit"""
181,千,せん,N5,num,"""thousand"""
182,先月,せんげつ,N5,n,"""last month"""
